Index,Name,Timestamp,Cube Position,Monoscopic,Stereoscopic,Depth
1,0001,0,u = 0.625,Yes,Yes,Yes
2,0002,0,u = 0.375,Yes,Yes,Yes
3,0003,5,u = 0.875,Yes,Yes,Yes
4,0004,0,u = 0.125,Yes,Yes,Yes
5,0005,4,u = 0.625,Yes,Yes,Yes
6,0006,0,u = 0.375,Yes,Yes,Yes
7,0007,0,u = 0.875,Yes,Yes,Yes
8,0008,1,u = 0.125,Yes,Yes,Yes
9,0009,0,u = 0.625,Yes,Yes,Yes
10,0010,7,u = 0.375,Yes,Yes,Yes
11,0011,11,u = 0.875,Yes,Yes,Yes
12,0012,24,u = 0.125,Yes,Yes,Yes
13,0013,10,u = 0.625,Yes,Yes,Yes
14,0014,2,u = 0.375,Yes,Yes,Yes
15,0016,2,u = 0.875,Yes,Yes,Yes
16,0017,28,u = 0.125,Yes,Yes,Yes
17,0018,0,u = 0.625,Yes,Yes,Yes
18,0019,19,u = 0.375,Yes,Yes,Yes
19,0020,6,u = 0.875,Yes,Yes,Yes
20,0021,0,u = 0.125,Yes,Yes,Yes
21,0022,9,u = 0.625,Yes,Yes,Yes
22,0025,0,u = 0.375,Yes,Yes,Yes
23,0027,18,u = 0.875,Yes,Yes,Yes
24,0028,10,u = 0.125,Yes,Yes,Yes
25,0029,5,u = 0.625,Yes,Yes,Yes
26,0030,0,u = 0.375,Yes,Yes,Yes
27,1001,17,u = 0.875,Yes,Yes,Yes
28,1002,30,u = 0.125,Yes,Yes,Yes
29,1003,23,u = 0.625,Yes,Yes,Yes
30,1004,0,u = 0.375,Yes,Yes,Yes
31,1005,0,u = 0.875,Yes,Yes,Yes
32,1006,26,u = 0.125,Yes,Yes,Yes
33,1007,1,u = 0.625,Yes,Yes,Yes
34,1008,5,u = 0.375,Yes,Yes,Yes
35,1009,5,u = 0.875,Yes,Yes,Yes
36,1010,10,u = 0.125,Yes,Yes,Yes
37,1011,10,u = 0.625,Yes,Yes,Yes
38,1012,20,u = 0.375,Yes,Yes,Yes
39,1013,0,u = 0.875,Yes,Yes,Yes
40,1014,0,u = 0.125,Yes,Yes,Yes
41,1016,0,u = 0.125,Yes,Yes,Yes
42,1018,5,u = 0.875,Yes,Yes,Yes
43,1022,8,u = 0.875,Yes,Yes,Yes
44,2001,22,u = 0.125,Yes,Yes,Yes
45,2006,16,u = 0.625,Yes,Yes,Yes
46,2007,0,u = 0.375,Yes,Yes,Yes
47,2008,0,u = 0.875,Yes,Yes,Yes
48,2013,0,u = 0.125,Yes,Yes,Yes
49,2017,29,u = 0.625,Yes,Yes,Yes
50,2018,0,u = 0.375,Yes,Yes,Yes
51,4001,0,u = 0.875,Yes,No,No
52,4002,15,u = 0.125,Yes,No,No
53,4003,0,u = 0.625,Yes,No,No
54,4008,5,u = 0.375,Yes,No,No
55,5001,0,u = 0.875,Yes,No,No
56,5002,5,u = 0.125,Yes,No,No
57,5003,20,u = 0.625,Yes,No,No
58,5004,10,u = 0.375,Yes,No,No
59,5006,0,u = 0.875,Yes,No,No
60,5007,0,u = 0.125,Yes,No,No
61,5009,10,u = 0.625,Yes,No,No
62,5010,0,u = 0.375,Yes,No,No
63,5012,0,u = 0.875,Yes,No,No
64,5013,0,u = 0.125,Yes,No,No
65,5014,0,u = 0.625,Yes,No,No
66,5015,0,u = 0.375,Yes,No,No
67,5016,0,u = 0.875,Yes,No,No
68,5017,0,u = 0.125,Yes,No,No
69,5018,12,u = 0.625,Yes,No,No
70,5019,0,u = 0.375,Yes,No,No
71,5020,5,u = 0.875,Yes,No,No
72,5021,0,u = 0.125,Yes,No,No
73,5022,0,u = 0.625,Yes,No,No
74,5024,5,u = 0.375,Yes,No,No
75,5025,0,u = 0.875,Yes,No,No
76,5026,12,u = 0.125,Yes,No,No
77,5029,0,u = 0.625,Yes,No,No
78,5030,0,u = 0.375,Yes,No,No
79,5031,0,u = 0.875,Yes,No,No
80,5033,0,u = 0.125,Yes,No,No
81,5034,0,u = 0.625,Yes,No,No
82,5035,0,u = 0.375,Yes,No,No
83,5036,0,u = 0.875,Yes,No,No
84,5037,0,u = 0.125,Yes,No,No
85,5039,0,u = 0.625,Yes,No,No
